Date,Time,Open,Max,Min,Closure,Volume
2015.02.25,00:00,1.1338,1.1388,1.1335,1.1363,8839
2015.02.26,00:00,1.1364,1.1379,1.1183,1.1194,11115
2015.02.27,00:00,1.1195,1.1244,1.1175,1.1194,10962
2015.03.02,00:00,1.1180,1.1240,1.1159,1.1178,8089
2015.03.03,00:00,1.1179,1.1217,1.1154,1.1180,8583
2015.03.04,00:00,1.1179,1.1185,1.1061,1.1080,10630
2015.03.05,00:00,1.1081,1.1113,1.0987,1.1030,12347
2015.03.06,00:00,1.1031,1.1031,1.0839,1.0842,13087
2015.03.09,00:00,1.0838,1.0905,1.0835,1.0847,9164
2015.03.10,00:00,1.0846,1.0846,1.0667,1.0686,15952
2015.03.11,00:00,1.0687,1.0716,1.0510,1.0550,17223
2015.03.12,00:00,1.0551,1.0683,1.0493,1.0622,17888
2015.03.13,00:00,1.0621,1.0634,1.0461,1.0495,15288
2015.03.16,00:00,1.0499,1.0619,1.0479,1.0570,12351
2015.03.17,00:00,1.0569,1.0650,1.0550,1.0593,12908
2015.03.18,00:00,1.0592,1.1043,1.0579,1.0822,20842
2015.03.19,00:00,1.0821,1.0918,1.0612,1.0668,25635
2015.03.20,00:00,1.0669,1.0881,1.0655,1.0823,18761
2015.03.23,00:00,1.0838,1.0970,1.0767,1.0958,21659
2015.03.24,00:00,1.0957,1.1028,1.0890,1.0913,19888
2015.03.25,00:00,1.0912,1.1014,1.0900,1.0964,16214
2015.03.26,00:00,1.0965,1.1051,1.0855,1.0879,17844
2015.03.27,00:00,1.0878,1.0948,1.0800,1.0884,17017
2015.03.30,00:00,1.0888,1.0894,1.0809,1.0824,13298
2015.03.31,00:00,1.0825,1.0844,1.0712,1.0740,14507
2015.04.01,00:00,1.0739,1.0799,1.0718,1.0766,15243
2015.04.02,00:00,1.0765,1.0904,1.0749,1.0878,14404
2015.04.03,00:00,1.0879,1.1026,1.0863,1.0969,8615
2015.04.06,00:00,1.0995,1.1035,1.0909,1.0934,7873
2015.04.07,00:00,1.0933,1.0954,1.0803,1.0811,14171
2015.04.08,00:00,1.0810,1.0886,1.0763,1.0781,15229
2015.04.09,00:00,1.0782,1.0788,1.0637,1.0661,13247
2015.04.10,00:00,1.0662,1.0683,1.0567,1.0603,12261
2015.04.13,00:00,1.0595,1.0618,1.0520,1.0568,13763
2015.04.14,00:00,1.0567,1.0706,1.0531,1.0654,15781
2015.04.15,00:00,1.0653,1.0701,1.0570,1.0678,17682
2015.04.16,00:00,1.0679,1.0817,1.0623,1.0763,19627
2015.04.17,00:00,1.0762,1.0848,1.0733,1.0806,18377
2015.04.20,00:00,1.0811,1.0818,1.0711,1.0738,13850
2015.04.21,00:00,1.0737,1.0780,1.0659,1.0737,13781
2015.04.22,00:00,1.0736,1.0800,1.0707,1.0721,13908
2015.04.23,00:00,1.0720,1.0845,1.0665,1.0821,16859
2015.04.24,00:00,1.0822,1.0899,1.0784,1.0869,16774
2015.04.27,00:00,1.0867,1.0925,1.0820,1.0883,13694
2015.04.28,00:00,1.0884,1.0990,1.0859,1.0975,14440
2015.04.29,00:00,1.0976,1.1187,1.0958,1.1114,19845
